,temperature_one,temperature_one,temperature_one,temperature_one,temperature_one,temperature_one,temperature_one,temperature_one,temperature_two,temperature_two,temperature_two,temperature_two,temperature_two,temperature_two,temperature_two,temperature_two,vibration_x,vibration_x,vibration_x,vibration_x,vibration_x,vibration_x,vibration_x,vibration_x,vibration_y,vibration_y,vibration_y,vibration_y,vibration_y,vibration_y,vibration_y,vibration_y,vibration_z,vibration_z,vibration_z,vibration_z,vibration_z,vibration_z,vibration_z,vibration_z,magnetic_flux_x,magnetic_flux_x,magnetic_flux_x,magnetic_flux_x,magnetic_flux_x,magnetic_flux_x,magnetic_flux_x,magnetic_flux_x,magnetic_flux_y,magnetic_flux_y,magnetic_flux_y,magnetic_flux_y,magnetic_flux_y,magnetic_flux_y,magnetic_flux_y,magnetic_flux_y,magnetic_flux_z,magnetic_flux_z,magnetic_flux_z,magnetic_flux_z,magnetic_flux_z,magnetic_flux_z,magnetic_flux_z,magnetic_flux_z
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
health_status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy,30209.0,22.243647919494194,1.2415213269289964,0.0,21.88,22.6,22.7,28.11,30209.0,18.26405872422126,1.2965623711888756,0.0,18.16,18.55,18.69,25.34,30209.0,0.030938131020556786,0.11269709861267485,0.0,0.01,0.02,0.03,2.0,30209.0,0.040697143235459636,0.06311197165947151,0.0,0.02,0.03,0.05,1.02,30209.0,0.12360021582971963,5.643767073265916,-980.67,0.14,0.15,0.16,2.0,30209.0,0.2728564004104737,0.03089551758189569,0.0,0.268,0.271,0.272,1.314,30209.0,0.09271213876659272,0.01080680504033897,0.0,0.093,0.093,0.094,0.271,30209.0,0.12038289913601906,0.15002534522870986,0.0,0.115,0.115,0.115,4.238
unhealthy,16111.0,612.4002865619761,447.2386434104516,17.4,19.67,949.72,949.72,949.72,16111.0,612.39935986593,447.2398422806799,17.4,19.67,949.72,949.72,949.72,16111.0,11.899513918569486,38.01125484702904,-380.0,0.00878906,0.1,28.3203,133.301,16111.0,1.2495654081044014,115.52161433836615,-285.0,-17.5781,0.0288086,24.4141,961.914,16111.0,-733.4975055216685,793.6669410652875,-2106.65,-1021.97,-1005.0,-1.9934,978.0,16111.0,298.2566792874434,379.64330019661384,0.0,14.0,169.65,559.8,1865.4,16111.0,175.65272720501517,188.82588324729574,0.0,9.0,79.95,369.9,1250.7,16111.0,938.781985165415,889.2705029608152,0.0,43.0,891.45,1464.9,4133.4
warning,3680.0,22.263709239130435,0.9359141665942562,16.91,21.98,22.6,22.7,28.11,3680.0,18.27227445652174,1.0160390374278476,15.86,18.26,18.55,18.72,25.14,3680.0,0.024709239130434785,0.05114903923532495,0.0,0.01,0.02,0.03,1.16,3680.0,0.03902445652173914,0.054761827828760344,0.0,0.02,0.03,0.05,0.94,3680.0,0.15461684782608695,0.055973578775274625,0.0,0.14,0.15,0.16,1.43,3680.0,0.2732904891304348,0.03731881286598541,0.0,0.268,0.271,0.272,1.301,3680.0,0.09340896739130435,0.011301563346672417,0.0,0.093,0.093,0.094,0.271,3680.0,0.12634021739130435,0.21473425997021076,0.0,0.115,0.115,0.115,4.238
